"id","orderNumber","status","retailerName","deliveryDate","dueAt","total","totalQuantity","paymentStatus","updatedAt"
"d5b58361-fbb1-403e-9d32-0d1b897484a7","OMO1013","Paid","Soul Rebel","2025-11-04T13:30:00.000Z","2025-11-12T02:00:00.000Z","135.53","6","Paid","2026-03-17T08:47:00.139Z"
"eea5d585-993b-4749-aa11-3a2362b09129","OMO1014","Paid","94 WEST","2025-11-04T13:30:00.000Z","2025-11-06T02:00:00.000Z","195.34","3","Paid","2026-01-12T06:04:16.144Z"
"722b6849-163b-4978-b62a-a065df582b96","OMO1054","Paid","94 WEST","2025-11-12T13:30:00.000Z","2025-11-14T02:00:00.000Z","276.27","5","Paid","2026-01-12T06:01:37.780Z"
"f6fc6c26-b369-46bd-ac80-cfdfc19e10a5","OMO1057","Paid","Adelaide Hospitality Warehouse","2025-11-12T13:30:00.000Z","2025-12-13T02:00:00.000Z","802.32","14","Paid","2026-03-25T11:48:41.841Z"
"23b0ec5f-b2d8-47cc-9f81-f709b378fca6","OMO1082","Paid","OM Packaging","2025-11-18T13:30:00.000Z","2025-12-19T02:00:00.000Z","400.74","11","Paid","2026-01-06T01:02:40.293Z"
"0338fee3-43e2-4578-a481-88b95654e256","OMO1100","Paid","OM Packaging","2025-11-23T13:30:00.000Z","2025-12-24T02:00:00.000Z","349.59","4","Paid","2026-01-06T01:02:52.598Z"
"e7473d92-631d-4932-915b-d804471cdb53","OMO1119","Paid","94 WEST","2025-11-25T13:30:00.000Z","2025-11-27T02:00:00.000Z","563.95","10","Paid","2026-01-12T06:05:17.511Z"
"ccc9b281-c4d5-425a-ac67-696dfb129cac","OMO1135","Paid","Ratio Specialty Cafe","2025-11-27T13:30:00.000Z","2025-11-28T02:00:00.000Z","263.45","5","Paid","2026-01-04T22:53:10.594Z"
"2f89609f-c720-4e24-b9d7-4e8e2ad03595","OMO1140","Paid","Soul Rebel","2025-11-27T13:30:00.000Z","2025-12-05T02:00:00.000Z","311.32","6","Paid","2026-03-16T22:31:37.476Z"
"8a86b407-9536-4a81-8954-a86e292ede7a","OMO1148","Paid","OM Packaging","2025-11-27T13:30:00.000Z","2025-12-28T02:00:00.000Z","2640","120","Paid","2026-01-06T01:03:05.447Z"
"58c3901f-bf9b-40eb-8be9-6509625df981","OMO1155","Paid","St. Louis Glenelg","2025-11-30T13:30:00.000Z","2025-12-01T02:00:00.000Z","79.75","2","Paid","2026-02-04T06:37:27.033Z"
"a5c5fdf3-be30-418c-9c83-d52b49e46986","OMO1181","Paid","94 WEST","2025-12-03T13:30:00.000Z","2025-12-05T02:00:00.000Z","193.08","5","Paid","2026-01-12T06:05:15.295Z"
"0738e1a2-72af-4242-8925-6af93247628e","OMO1187","Paid","Soul Rebel","2025-12-04T13:30:00.000Z","2025-12-12T02:00:00.000Z","162.04","5","Paid","2026-03-20T23:27:43.801Z"
"2128b145-b607-4383-840f-98f3af158aa9","OMO1231","Paid","94 WEST","2025-12-11T13:30:00.000Z","2025-12-13T02:00:00.000Z","295.58","5","Paid","2026-01-12T06:01:51.125Z"
"e15d543b-c0b4-46b0-982d-56a5a9050be0","OMO1241","Paid","94 WEST","2025-12-14T13:30:00.000Z","2025-12-16T02:00:00.000Z","353.31","3","Paid","2026-01-12T06:02:34.019Z"
"5f6ad6f0-a1fd-460a-a293-58a3a955c99a","OMO1262","Paid","Adelaide Buddhist Association","2025-12-16T13:30:00.000Z","2025-12-17T02:00:00.000Z","256.87","27","Paid","2026-02-19T15:22:44.658Z"
"199fb510-6453-412e-87fe-765035087454","OMO1264","Paid","Ratio Specialty Cafe","2025-12-17T13:30:00.000Z","2025-12-18T02:00:00.000Z","287.36","3","Paid","2026-03-22T23:02:02.271Z"
"611952d2-cc29-4a16-a30e-2c4470348ae6","OMO1270","Paid","Soul Rebel","2025-12-17T13:30:00.000Z","2025-12-25T02:00:00.000Z","186.4","3","Paid","2026-03-16T22:23:06.567Z"
"b3d6c672-82be-47a9-9390-537ff54dc5b9","OMO1281","Paid","94 WEST","2025-12-18T13:30:00.000Z","2025-12-20T02:00:00.000Z","1316.89","38","Paid","2026-01-12T06:04:13.950Z"
"45466124-5e76-4542-a52d-5ca681179826","OMO1286","Paid","Adelaide Hills Lawns & Gardens Pty","2025-12-21T13:30:00.000Z","2025-12-29T02:00:00.000Z","54.01","8","Paid","2026-04-02T00:00:30.719Z"
"b28ddf6d-7f2d-4996-8158-b80501a2c32a","OMO1304","Paid","Elementary Coffee TV","2025-12-23T13:30:00.000Z","2025-12-24T02:00:00.000Z","481.71","7","Paid","2026-01-05T04:10:33.688Z"
"761c5944-318f-47e5-a947-a73015480cca","OMO1311","Paid","THE FLINDERS STREET PROJECT","2026-01-04T13:30:00.000Z","2026-01-06T02:00:00.000Z","207.9","3","Paid","2026-02-05T06:19:56.214Z"
"37975845-87a1-4933-baf9-97075fe7ce95","OMO1316","Paid","*Giro Espresso","2026-01-04T13:30:00.000Z","2026-01-02T02:00:00.000Z","232.65","6","Paid","2026-01-01T05:42:59.339Z"
"5fc19a9f-059e-4d08-8c02-b7605c178157","OMO1317","Paid","Brekkie Junction","2026-01-04T13:30:00.000Z","2026-01-02T02:46:27.674Z","119.37","7","Paid","2026-01-02T02:46:32.796Z"
"fba03f71-021f-49db-bab4-06b3a47e9fe2","OMO1318","Paid","Brekkie Junction","2026-01-04T13:30:00.000Z","2026-01-02T02:49:03.219Z","19.8","1","Paid","2026-01-02T02:49:08.428Z"
"39fc248e-1fab-4706-b5be-f009114134e8","OMO1319","Paid","East Medditeranean Eatery","2026-01-04T13:30:00.000Z","2026-01-06T02:00:00.000Z","195.3","3","Paid","2026-01-02T03:00:22.365Z"
"7453b621-ec0f-402b-8a4c-0470a088c0f6","OMO1320","Paid","St. Louis Glenelg","2026-01-04T13:30:00.000Z","2026-01-03T02:00:00.000Z","135.14","14","Paid","2026-01-02T03:14:19.695Z"
"bc3fb5eb-fc56-46f9-ae67-c5fdc8efeac9","OMO1321","Paid","Please Say Please","2026-01-04T13:30:00.000Z","2026-01-04T02:00:00.000Z","48.95","7","Paid","2026-01-02T03:48:43.568Z"
"191405bd-f3c9-4fe6-8a9d-dfb423ee7cc1","OMO1322","Paid","Friends with Florence","2026-01-04T13:30:00.000Z","2026-01-06T02:00:00.000Z","837.43","14","Paid","2026-01-02T22:45:17.723Z"
"85d9a873-3feb-4747-9ea1-faed7783beb9","OMO1323","Paid","Elementary Coffee YS","2026-01-04T13:30:00.000Z","2026-01-04T02:00:00.000Z","194.27","10","Paid","2026-01-04T01:35:31.341Z"
"0c5d5cb7-dc0b-4152-8c61-e5adb5f4a498","OMO1324","Paid","Yuna cafe","2026-01-04T13:30:00.000Z","2026-01-05T02:00:00.000Z","209.26","1","Paid","2026-02-24T01:31:13.939Z"
"ab0e0ace-289c-464f-8b51-67a5b46d94eb","OMO1325","Paid","St Louis Hyde Park","2026-01-04T13:30:00.000Z","2026-01-07T02:00:00.000Z","240.1","10","Paid","2026-01-04T00:10:05.262Z"
"67b2d4f7-13fe-461b-9fc8-73c4295ea4e6","OMO1326","Paid","Loaded Corner Cafe","2026-01-05T13:30:00.000Z","2026-01-07T02:00:00.000Z","310.15","9","Paid","2026-01-07T01:48:06.518Z"
"0be11186-ce63-4106-ad90-893fe843e3b6","OMO1327","Paid","Grind & Press Adelaide Uni","2026-01-05T13:30:00.000Z","2026-01-06T02:00:00.000Z","151.51","6","Paid","2026-01-08T01:14:13.449Z"
"af2f30cf-e902-48d1-b682-63ab13a2cdd1","OMO1328","Paid","Green Options","2026-01-05T13:30:00.000Z","2026-01-11T02:00:00.000Z","397.47","6","Paid","2026-01-05T01:14:40.098Z"
"28b2f2ef-1c8b-4a86-ba13-13b9d9a5e231","OMO1329","Paid","What The Croque Café","2026-01-05T13:30:00.000Z","2026-01-06T02:00:00.000Z","254.33","4","Paid","2026-01-05T09:19:41.904Z"
"e69c2fe3-a396-43a2-b67b-29eeef33ee5d","OMO1330","Paid","St. Louis Glenelg","2026-01-06T13:30:00.000Z","2026-01-07T02:00:00.000Z","174.96","4","Paid","2026-01-05T23:52:19.402Z"
"62df3fb1-8e4f-44d5-8dae-cc988f5694f1","OMO1331","Paid","THE FLINDERS STREET PROJECT","2026-01-06T13:30:00.000Z","2026-01-08T02:00:00.000Z","180.78","5","Paid","2026-01-12T01:42:38.856Z"
"2fd3fff4-c8ed-4714-a631-6f15eccf8832","OMO1332","Paid","Elementary Coffee TV","2026-01-06T13:30:00.000Z","2026-01-07T02:00:00.000Z","737.1","10","Paid","2026-01-07T02:17:27.862Z"
"8fed1e32-41cf-4cdb-a57c-339c7841bb43","OMO1333","Paid","HOMEBOY CO (CBD)","2026-01-06T13:30:00.000Z","2026-01-08T02:00:00.000Z","584.33","4","Paid","2026-01-08T02:21:29.982Z"
"50508383-0168-4d67-82a2-8ee5c29a4eb5","OMO1334","Paid","Hummus Hustle","2026-01-07T13:30:00.000Z","2026-01-08T02:00:00.000Z","236.34","5","Paid","2026-01-07T21:42:00.242Z"
"cc2f9821-2adc-46ac-ab4d-56d1e21c68ff","OMO1335","Paid","Kent Way International","2026-01-07T13:30:00.000Z","2026-02-07T02:00:00.000Z","902.88","16","Paid","2026-02-11T04:00:22.420Z"
"d656e65b-0ed2-41dd-9f0f-62bbc5279c2b","OMO1336","Paid","East Borough Parkside","2026-01-07T13:30:00.000Z","2026-01-08T02:00:00.000Z","185.03","9","Paid","2026-01-07T01:43:42.919Z"
"4de4bde9-63c7-46c9-ac69-41442a0222f6","OMO1337","Paid","Crave Specialty Coffee","2026-01-08T13:30:00.000Z","2026-01-09T02:00:00.000Z","577.52","13","Paid","2026-01-09T02:07:35.177Z"
"302aac82-8023-4b19-bce3-a5f97d352218","OMO1338","Paid","Cafe Society by LLaw","2026-01-07T13:30:00.000Z","2026-01-08T02:00:00.000Z","207.9","4","Paid","2026-03-13T02:28:21.170Z"
"55f455cf-3dfd-4231-a9b7-bdd1c0b12fea","OMO1339","Paid","Loaded Corner Cafe","2026-01-07T13:30:00.000Z","2026-01-09T02:00:00.000Z","137.5","10","Paid","2026-01-09T01:46:56.646Z"
"c538b830-508d-467c-b653-ebbeb5f909e9","OMO1340","Paid","It Takes A Village","2026-01-08T13:30:00.000Z","2026-01-10T02:00:00.000Z","153.12","4","Paid","2026-01-07T20:39:52.329Z"
"69034be6-4da8-4275-bc10-5bf2f63ba0aa","OMO1341","Paid","Fresco Bah - Pirie Street","2026-01-07T13:30:00.000Z","2026-01-08T02:00:00.000Z","631.96","19","Paid","2026-01-07T21:39:16.775Z"
